open_time,open,high,low,close,volume,close_time
1.67158E+12,16895.75286,16909.07114,16892.24314,16906.386,0,1.67158E+12
1.67158E+12,16906.336,16921.746,16904.60486,16915.45208,0,1.67158E+12
1.67158E+12,16916.43886,16916.43886,16862.32118,16872.32926,0,1.67158E+12
1.67158E+12,16871.65557,16880.783,16848.01008,16872.23912,0,1.67158E+12
1.67158E+12,16871.97326,16874.81657,16860.27426,16870.84726,0,1.67158E+12
1.67158E+12,16871.15411,16887.89483,16870.73881,16885.76689,0,1.67158E+12
1.67158E+12,16885.69089,16904.07683,16885.57317,16897.78857,0,1.67158E+12
1.67158E+12,16897.68,16904.57271,16873.49686,16875.53129,0,1.67158E+12
1.67158E+12,16875.20871,16881.11543,16856.33805,16864.96901,0,1.67158E+12
1.67158E+12,16864.49658,16864.81158,16842.50629,16855.17529,0,1.67158E+12
1.67158E+12,16855.44271,16855.44271,16820.10262,16837.29595,0,1.67158E+12
1.67158E+12,16836.52152,16850.49909,16836.23465,16842.29586,0,1.67158E+12
1.67158E+12,16842.11158,16852.39671,16831.00577,16851.94563,0,1.67158E+12
1.67158E+12,16852.62557,16860.31628,16849.98278,16858.94702,0,1.67158E+12
1.67159E+12,16859.10588,16865.80824,16854.6821,16855.68929,0,1.67159E+12
1.67159E+12,16855.70714,16877.52167,16854.03681,16862.40243,0,1.67159E+12
1.67159E+12,16862.41529,16862.85471,16845.23556,16846.52275,0,1.67159E+12
1.67159E+12,16846.69004,16859.06318,16846.15029,16849.45771,0,1.67159E+12
1.67159E+12,16848.36893,16852.91523,16837.7415,16848.6048,0,1.67159E+12
1.67159E+12,16848.71303,16855.70635,16845.67745,16854.83669,0,1.67159E+12
1.67159E+12,16854.7624,16865.42821,16850.21878,16850.83129,0,1.67159E+12
1.67159E+12,16850.8732,16859.95364,16848.51773,16850.99227,0,1.67159E+12
1.67159E+12,16850.34542,16865.1405,16848.21657,16865.1405,0,1.67159E+12
1.67159E+12,16865.49178,16874.5175,16863.54323,16867.15949,0,1.67159E+12
1.67159E+12,16867.00392,16867.03864,16859.64709,16860.92664,0,1.67159E+12
1.67159E+12,16860.91592,16867.17321,16859.3825,16864.28178,0,1.67159E+12
1.67159E+12,16864.12749,16876.0691,16863.19007,16874.14829,0,1.67159E+12
1.67159E+12,16874.13515,16878.77333,16865.36049,16867.01062,0,1.67159E+12
1.67159E+12,16867.27105,16867.41705,16844.17454,16853.18701,0,1.67159E+12
1.67159E+12,16852.80306,16869.9474,16849.97507,16867.68996,0,1.67159E+12
1.67159E+12,16867.11525,16867.60169,16851.6419,16852.8499,0,1.67159E+12
1.67159E+12,16852.8029,16861.50086,16852.23233,16859.67,0,1.67159E+12
1.67159E+12,16859.54971,16863.71571,16858.45418,16861.74329,0,1.67159E+12
1.67159E+12,16861.81271,16866.00014,16847.55151,16849.72164,0,1.67159E+12
1.67159E+12,16849.69871,16850.16907,16844.69229,16847.21029,0,1.67159E+12
1.67159E+12,16847.25957,16850.08514,16846.199,16849.15492,0,1.67159E+12
1.67159E+12,16849.56157,16850.79035,16841.76139,16847.20279,0,1.67159E+12
1.67159E+12,16846.92536,16847.74757,16821.28653,16824.174,0,1.67159E+12
1.67159E+12,16824.4821,16825.12043,16801.18827,16823.892,0,1.67159E+12
